v(node1),v(nodea),v(nodeb),v(nodez),v(sd2),current_vdd,current_total,estimated_leakage
1.1,0.0,0.0,1.099999,0.09956689,4.699591e-10,4.699591e-10,4.701013288e-10
1.1,0.0,1.1,1.099996,0.8449232,1.105601e-09,1.105626e-09,1.1079936210000002e-09
1.1,1.1,0.0,1.099989,5.96818e-06,2.556438e-09,2.633628e-09,2.6342183899999997e-09
1.1,1.1,1.1,7.077242e-06,3.588113e-06,1.18975e-09,1.51383e-09,-1.5138583999999999e-09
