v(node1),v(nodea),v(nodez),current_vdd,current_total,estimated_leakage
1.1,0.0,1.099995,1.229032e-09,1.229032e-09,1.229041152e-09
1.1,1.1,3.634997e-06,5.948863e-10,7.135106e-10,-7.135114999999999e-10
