p3_,p2_,p1_,p0_,g3_,g2_,g1_,g0_,cin,p_,g_,cnz,cny,cnx,simulated_leakage,estimated_leakage,% Err
0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,6.805101e-08,6.805850280519996e-08,0.01101057162848091
0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,6.104404e-08,6.105062196959994e-08,0.01078232960979484
0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635067e-06,6.807033e-08,6.808108574899996e-08,0.01580093559111356
0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,3.635416e-06,6.3135e-08,6.315278539479995e-08,0.028170420210576155
0.0,0.0,0.0,1.1,0.0,0.0,1.1,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,8.230601e-08,8.231898975680001e-08,0.01577012031077827
0.0,0.0,0.0,1.1,0.0,0.0,1.1,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.529904e-08,7.531110892119999e-08,0.01602798813900083
0.0,0.0,0.0,1.1,0.0,0.0,1.1,1.1,0.0,1.099996,7.078162e-06,1.099995,3.635961e-06,3.635067e-06,7.725412e-08,7.7265781413e-08,0.015094875198895824
0.0,0.0,0.0,1.1,0.0,0.0,1.1,1.1,1.1,1.099996,7.078162e-06,1.099995,3.635961e-06,3.635416e-06,7.471043e-08,7.473362563319998e-08,0.031047382808515718
0.0,0.0,0.0,1.1,0.0,1.1,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.55579e-08,7.557619838860001e-08,0.024217704038895962
0.0,0.0,0.0,1.1,0.0,1.1,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,6.855094e-08,6.856831755299997e-08,0.02534983911230899
0.0,0.0,0.0,1.1,0.0,1.1,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635067e-06,7.55772e-08,7.55987813324e-08,0.02855534790916025
0.0,0.0,0.0,1.1,0.0,1.1,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,3.635416e-06,7.06419e-08,7.067048097819997e-08,0.04045896019214444
0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,8.800049e-08,8.802219432620003e-08,0.024663869712582873
0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,8.099351e-08,8.10143134906e-08,0.0256853797298057
0.0,0.0,0.0,1.1,0.0,1.1,1.1,1.1,0.0,1.099996,7.078162e-06,3.635067e-06,3.635961e-06,3.635067e-06,7.75578e-08,7.757663060180001e-08,0.024279442944498825
0.0,0.0,0.0,1.1,0.0,1.1,1.1,1.1,1.1,1.099996,7.078162e-06,3.635961e-06,3.635961e-06,3.635416e-06,7.832957e-08,7.83620138274e-08,0.04141964190534459
0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.212203e-08,7.213629674299998e-08,0.01978139411768951
0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,6.511507e-08,6.512841590739996e-08,0.020495881214536046
0.0,0.0,0.0,1.1,1.1,0.0,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635067e-06,7.214135e-08,7.215887968679999e-08,0.024299083396686155
0.0,0.0,0.0,1.1,1.1,0.0,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,3.635416e-06,6.720603e-08,6.723057933259998e-08,0.03652846716280406
0.0,0.0,0.0,1.1,1.1,0.0,1.1,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,8.637704e-08,8.639678369460001e-08,0.02285757256789734
0.0,0.0,0.0,1.1,1.1,0.0,1.1,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.937007e-08,7.9388902859e-08,0.023727910281539685
0.0,0.0,0.0,1.1,1.1,0.0,1.1,1.1,0.0,1.099996,7.078162e-06,1.099995,3.635961e-06,3.635067e-06,8.132516e-08,8.134357535080002e-08,0.022644100300598737
0.0,0.0,0.0,1.1,1.1,0.0,1.1,1.1,1.1,1.099996,7.078162e-06,1.099995,3.635961e-06,3.635416e-06,7.878145e-08,7.881141957100001e-08,0.03804140568625194
0.0,0.0,0.0,1.1,1.1,1.1,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,8.055306e-08,8.057538675740002e-08,0.02771683335185101
0.0,0.0,0.0,1.1,1.1,1.1,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.35461e-08,7.35675059218e-08,0.029105447875550552
0.0,0.0,0.0,1.1,1.1,1.1,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635067e-06,8.057237e-08,8.059796970120001e-08,0.03177230755408693
0.0,0.0,0.0,1.1,1.1,1.1,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,3.635416e-06,7.563705e-08,7.5669669347e-08,0.04312614915573237
0.0,0.0,0.0,1.1,1.1,1.1,1.1,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,9.299565e-08,9.3021382695e-08,0.027670858798240987
0.0,0.0,0.0,1.1,1.1,1.1,1.1,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,8.598868e-08,8.601350185940001e-08,0.02886642683666404
0.0,0.0,0.0,1.1,1.1,1.1,1.1,1.1,0.0,1.099996,1.099996,3.635067e-06,3.635961e-06,3.635067e-06,7.946498e-08,7.949030747840001e-08,0.0318725033341858
0.0,0.0,0.0,1.1,1.1,1.1,1.1,1.1,1.1,1.099996,1.099996,3.635961e-06,3.635961e-06,3.635416e-06,8.023674e-08,8.027569070400001e-08,0.04854472402543722
0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,6.957931e-08,6.958472757419996e-08,0.007786185577223986
0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,6.257234e-08,6.257684673859995e-08,0.007202445361553523
0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635961e-06,7.319863e-08,7.321311576839997e-08,0.019789671473316943
